,Champion,G,PB%,B,G,By,W,L,WR,K,D,A,KDA,CS,CS/M,G,G/M,DMG,DMG/M,KPAR,KS,GS,As
394,Lucian,28,23.3%,12,16,12,5,11,31.3%,3.5,3.25,3.69,2.21,292.38,8.94,13.5,413,-,-,61.5%,29.9%,23.7%,
395,Morgana,28,23.3%,19,9,4,5,4,55.6%,1.22,2.44,7.33,3.5,56.44,1.54,9.7,266,-,-,63.6%,9.1%,14.8%,
396,Irelia,28,23.3%,20,8,8,3,5,37.5%,3.63,3.75,4.38,2.13,289.88,8.52,13.8,405,-,-,59.3%,26.9%,22.6%,
397,Gnar,26,21.7%,8,18,11,11,7,61.1%,2.06,2.44,5.61,3.14,258.44,7.41,12.9,369,-,-,59.2%,15.9%,20.6%,
398,Galio,25,20.8%,10,15,12,5,10,33.3%,1.33,3.27,6.73,2.47,157.33,4.93,9.5,299,-,-,67.2%,11.1%,17.2%,
399,Pyke,25,20.8%,12,13,10,4,9,30.8%,1.77,3.31,4.54,1.91,72.54,2.3,9.1,288,-,-,60.3%,16.9%,16%,
400,Rumble,23,19.2%,18,5,3,3,2,60%,4.6,2,7.6,6.1,223,7.16,12.1,388,-,-,77.2%,29.1%,21.2%,
401,Camille,21,17.5%,7,14,10,8,6,57.1%,2.5,2.64,5.29,2.95,252.14,7.98,12.3,388,-,-,61.6%,19.8%,21.3%,
402,Alistar,21,17.5%,7,14,8,5,9,35.7%,0.43,3.64,5.57,1.65,44.71,1.54,6.4,221,-,-,59.6%,4.3%,12.9%,
403,Kled,21,17.5%,12,9,7,5,4,55.6%,2.56,1.67,3.67,3.73,240.89,7.63,11.4,362,-,-,51.9%,21.3%,20.5%,
404,Nocturne,20,16.7%,8,12,10,3,9,25%,1.83,3.42,6.08,2.32,176.75,5.22,10.7,315,-,-,72.5%,16.8%,18.6%,
405,Heimerdinger,20,16.7%,13,7,4,4,3,57.1%,2.86,2.43,6.71,3.94,282.57,7.15,14.7,371,-,-,61.5%,18.3%,20.2%,
406,Skarner,17,14.2%,9,8,7,1,7,12.5%,0.5,3.25,7.25,2.38,155,4.2,10.2,277,-,-,72.1%,4.7%,16.4%,
407,Ornn,16,13.3%,6,10,7,7,3,70%,1.7,2.7,7.2,3.3,176.2,5.6,10.2,324,-,-,58.6%,11.2%,17.4%,
408,Orianna,15,12.5%,2,13,9,7,6,53.8%,2.08,2.62,7,3.47,309.08,8.49,14,385,-,-,69.4%,15.9%,21.5%,
409,Veigar,15,12.5%,9,6,5,3,3,50%,3.17,1.67,5.83,5.4,255.17,8.19,12.3,395,-,-,72%,25.3%,22.1%,
410,Blitzcrank,14,11.7%,6,8,6,3,5,37.5%,1.38,4.25,6.75,1.91,17.13,0.47,9.3,256,-,-,49.2%,8.3%,13.9%,
411,Aatrox,13,10.8%,2,11,9,5,6,45.5%,2.55,2.55,3.64,2.43,211.45,7.4,10.6,372,-,-,56.2%,23.1%,21.3%,
412,Taliyah,13,10.8%,4,9,4,6,3,66.7%,3.11,2,6.56,4.83,169.11,5.26,11.1,345,-,-,65.4%,21.1%,18.3%,
413,Cassiopeia,13,10.8%,5,8,5,4,4,50%,3,3.88,5.5,2.19,272.88,8.33,13.1,399,-,-,59.6%,21.1%,22%,
414,Quinn,13,10.8%,9,4,4,2,2,50%,3.75,3.25,3,2.08,281.25,8.43,13.6,407,-,-,54%,30%,22.9%,
415,Kennen,12,10%,5,7,4,5,2,71.4%,2.57,2.86,6.29,3.1,251.86,7.89,12.7,398,-,-,56.9%,16.5%,20.9%,
416,Tahm Kench,11,9.2%,4,7,4,5,2,71.4%,1.14,2.43,13.86,6.18,87.14,2.48,10.2,291,-,-,77.2%,5.9%,15%,
417,Varus,10,8.3%,1,9,4,6,3,66.7%,6.44,2.67,7.22,5.13,312.67,9.42,15.6,470,-,-,69.9%,33%,24.8%,
418,Shen,10,8.3%,2,8,7,3,5,37.5%,1.75,4.88,5.63,1.51,160.88,4.81,10.3,307,-,-,67%,15.9%,17.7%,
419,Draven,10,8.3%,7,3,2,2,1,66.7%,4,2,5.33,4.67,266.67,9.38,13.3,466,-,-,70%,30%,24.3%,
420,Corki,9,7.5%,1,8,5,4,4,50%,2.63,2,3.75,3.19,340,9.62,15.1,428,-,-,60.7%,25%,23.8%,
421,Garen,9,7.5%,1,8,4,3,5,37.5%,3.5,3.13,6.5,3.2,294.75,7.68,14.5,377,-,-,60.2%,21.1%,20.6%,
422,Lissandra,9,7.5%,3,6,6,3,3,50%,1.83,2.5,4.17,2.4,256.83,8.22,11.6,371,-,-,57.1%,17.5%,20.8%,
423,Karthus,8,6.7%,3,5,4,1,4,20%,2.4,2.6,2.8,2,220.6,6.31,12.1,346,-,-,56.5%,26.1%,20.3%,
424,Fiora,8,6.7%,4,4,4,2,2,50%,3.5,4,4,1.88,351.25,9.71,17.1,472,-,-,52.6%,24.6%,24.5%,
425,Karma,8,6.7%,4,4,4,2,2,50%,1.25,2.75,7.75,3.27,139.5,3.84,10.5,289,-,-,76.6%,10.6%,16.4%,
426,Caitlyn,8,6.7%,4,4,4,0,4,0%,2.5,3.5,2.5,1.43,289.75,9.43,12.4,404,-,-,51.3%,25.6%,25%,
427,Sion,7,5.8%,-,7,6,1,6,14.3%,1,2.86,3.43,1.55,262,7.54,11.4,328,-,-,57.4%,13%,19.8%,
428,Neeko,7,5.8%,1,6,5,3,3,50%,1.83,2.67,5.67,2.81,229.33,7.52,10.8,355,-,-,59.2%,14.5%,19.7%,
429,Mordekaiser,7,5.8%,1,6,4,0,6,0%,3.67,3.83,3,1.74,275.17,7.56,13.8,380,-,-,42.1%,23.2%,21.4%,
430,Ashe,7,5.8%,3,4,4,2,2,50%,3.25,2,6.75,5,272,8.76,12.5,402,-,-,66.7%,21.7%,22.8%,
431,Vayne,7,5.8%,5,2,1,2,0,100%,3,1.5,6,6,300,9.6,14.3,457,-,-,51.4%,17.1%,22.6%,
432,Cho'Gath,6,5%,1,5,3,2,3,40%,3.4,2.2,4.8,3.73,248,7.02,12.8,362,-,-,50.6%,21%,19.9%,
433,Sivir,6,5%,2,4,4,2,2,50%,3.75,1.75,4.5,4.71,391.75,10.41,16.8,446,-,-,62.3%,28.3%,24.7%,
434,Jax,6,5%,5,1,1,1,0,100%,1,0,1,2,240,8.59,10.3,367,-,-,18.2%,9.1%,19.9%,
435,Zoe,5,4.2%,-,5,5,2,3,40%,2.8,1,5.8,8.6,240.8,7.36,12,368,-,-,57.3%,18.7%,19.5%,
436,Azir,5,4.2%,-,5,4,1,4,20%,2.2,2.6,2.4,1.77,263.2,9.03,11.1,381,-,-,62.2%,29.7%,23.1%,
437,Ekko,5,4.2%,-,5,4,1,4,20%,1.6,4.4,5.2,1.55,164.8,4.86,10.2,301,-,-,73.9%,17.4%,18.2%,
438,Jinx,4,3.3%,1,3,3,1,2,33.3%,3,1.67,4.33,4.4,300.67,9.9,13.3,438,-,-,62.9%,25.7%,24.3%,
439,Jhin,4,3.3%,2,2,1,1,1,50%,6.5,1,7,13.5,427,10.11,20.4,483,-,-,58.7%,28.3%,25.1%,
440,Braum,4,3.3%,3,1,1,0,1,0%,1,3,3,1.33,84,2.16,9.8,251,-,-,23.5%,5.9%,14.2%,
441,Poppy,3,2.5%,-,3,3,1,2,33.3%,2,4.67,8.33,2.21,183,5.01,11.2,307,-,-,66%,12.8%,17.3%,
442,Fiddlesticks,3,2.5%,1,2,2,2,0,100%,1,2,8.5,4.75,22.5,0.62,8.8,243,-,-,61.3%,6.5%,13%,
443,Sylas,3,2.5%,1,2,2,0,2,0%,2.5,4,7,2.38,241.5,6.3,12.8,333,-,-,55.9%,14.7%,19.5%,
444,Hecarim,2,1.7%,-,2,1,1,1,50%,5.5,2,4.5,5,163.5,5.43,11.4,377,-,-,66.7%,36.7%,20.4%,
445,Kha'Zix,2,1.7%,-,2,2,1,1,50%,2.5,4.5,5.5,1.78,189.5,4.99,12.9,340,-,-,64%,20%,18.7%,
446,Lulu,2,1.7%,-,2,2,1,1,50%,0.5,2.5,10.5,4.4,24.5,0.64,9.3,244,-,-,88%,4%,14%,
447,Sejuani,2,1.7%,-,2,2,0,2,0%,0.5,2.5,1,0.6,129,4.73,7.6,279,-,-,100%,33.3%,19.3%,
448,Sona,2,1.7%,1,1,1,0,1,0%,1,3,5,2,257,5.91,18.4,424,-,-,75%,12.5%,22.7%,
449,Volibear,2,1.7%,1,1,1,0,1,0%,1,4,6,1.75,35,1.31,5.6,210,-,-,77.8%,11.1%,13.2%,
450,Kalista,2,1.7%,2,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
451,Kog'Maw,1,0.8%,-,1,1,1,0,100%,12,6,8,3.33,402,9.16,22.4,509,-,-,90.9%,54.5%,26.9%,
452,Malphite,1,0.8%,-,1,1,1,0,100%,3,1,9,12,245,8.55,12.1,424,-,-,60%,15%,20.3%,
453,Urgot,1,0.8%,-,1,1,1,0,100%,8,5,10,3.6,287,5.9,20.3,418,-,-,72%,32%,21%,
454,Yorick,1,0.8%,-,1,1,1,0,100%,2,2,3,2.5,254,8.18,12.6,407,-,-,27.8%,11.1%,20%,
455,Anivia,1,0.8%,-,1,1,0,1,0%,1,2,0,0.5,362,11.21,12.8,397,-,-,25%,25%,24.6%,
456,Bard,1,0.8%,-,1,1,0,1,0%,0,7,10,1.43,31,0.79,9.1,233,-,-,83.3%,0%,13.8%,
457,Lux,1,0.8%,-,1,1,0,1,0%,0,3,1,0.33,15,0.49,6.2,204,-,-,50%,0%,12.8%,
458,Nidalee,1,0.8%,-,1,1,0,1,0%,1,2,1,1,102,4.49,6.3,278,-,-,100%,50%,19.6%,
459,Rengar,1,0.8%,-,1,1,0,1,0%,5,4,0,1.25,208,7.96,10.6,404,-,-,50%,50%,23.1%,
460,Vi,1,0.8%,-,1,1,0,1,0%,0,7,4,0.57,113,3.64,7.8,250,-,-,36.4%,0%,14.9%,
461,Viktor,1,0.8%,-,1,1,0,1,0%,1,2,2,1.5,245,7.52,10.2,314,-,-,60%,20%,19.5%,
462,Xin Zhao,1,0.8%,-,1,1,0,1,0%,3,3,2,1.67,179,5.24,11.4,333,-,-,55.6%,33.3%,19.6%,
463,Ziggs,1,0.8%,-,1,1,0,1,0%,5,1,4,9,539,8.5,24.2,382,-,-,56.3%,31.3%,23.3%,
464,Zilean,1,0.8%,-,1,1,0,1,0%,1,1,1,2,271,9.19,10.1,343,-,-,100%,50%,23.2%,
465,Ornn,102,89.5%,62,40,17,24,16,60%,1.7,2,7.2,4.45,236.03,7.36,11.3,354,12.7k,396.9,64%,12.2%,19.8%,
466,Nidalee,102,89.5%,71,31,14,18,13,58.1%,3.23,2.19,6.19,4.29,215.97,6.74,11.7,365,12.7k,396.4,70.2%,24%,20.3%,
467,Graves,99,86.8%,30,69,21,35,34,50.7%,3.61,2.38,5.26,3.73,218.49,6.87,11.8,370,12.1k,381.9,68.2%,27.8%,20.8%,
468,Lucian,94,82.5%,78,16,13,9,7,56.3%,4,2.88,4.25,2.87,287.88,8.89,13.8,427,16.3k,504.7,62.9%,30.5%,23.8%,
469,Syndra,84,73.7%,47,37,15,19,18,51.4%,3.24,2.49,5.08,3.35,289.32,8.83,13,396,17.8k,543.7,60.3%,23.5%,22.5%,
470,Camille,80,70.2%,53,27,15,15,12,55.6%,3.85,3.15,4.89,2.78,260.48,7.97,13.3,408,15k,458.2,55.3%,24.4%,22.4%,
471,Renekton,79,69.3%,46,33,14,13,20,39.4%,2.33,3.48,4.18,1.87,259.48,8.03,12.3,380,11.7k,363.4,54.2%,19.4%,21.8%,
472,Twisted Fate,78,68.4%,55,23,10,13,10,56.5%,3.22,2.26,7.61,4.79,262.7,8.43,13.5,434,14.9k,477.8,73.5%,21.8%,23.3%,
473,Orianna,73,64%,34,39,18,25,14,64.1%,3.69,1.9,6.03,5.12,303.87,9.03,14,417,16.5k,490.9,69.4%,26.4%,23.2%,
474,Lillia,71,62.3%,30,41,14,17,24,41.5%,2.8,3.17,6.66,2.98,208.32,6.5,11.3,352,13.9k,432.8,70.5%,20.9%,20%,
475,Ashe,70,61.4%,28,42,19,17,25,40.5%,2.86,2.64,5.67,3.23,296.14,9.09,13.4,412,16.4k,504.3,66.8%,22.4%,23.5%,
476,Leona,67,58.8%,25,42,14,26,16,61.9%,0.83,3.12,7.24,2.59,37.48,1.16,7.4,231,4.1k,126.8,57.1%,5.9%,12.7%,
477,Sett,66,57.9%,34,32,23,15,17,46.9%,2.09,3.13,6.28,2.68,160.59,4.94,10.2,315,9.8k,302.7,58%,14.5%,17.6%,
478,Senna,64,56.1%,18,46,20,21,25,45.7%,1.8,2.11,7.83,4.57,222.04,7.04,11.4,361,13.6k,431.6,75.6%,14.2%,20.6%,
479,Ezreal,58,50.9%,24,34,14,20,14,58.8%,3.94,2.5,5.03,3.59,296.09,8.82,14,417,23.4k,696.1,65.6%,28.8%,23.4%,
480,Jhin,56,49.1%,13,43,17,28,15,65.1%,4,1.47,5.86,6.73,283.05,8.97,13.5,427,15.3k,484.9,67.8%,27.5%,23.4%,
481,Caitlyn,54,47.4%,39,15,8,8,7,53.3%,3.8,1.6,4.4,5.13,301.67,9.71,14,451,16.9k,544.1,65.1%,30.2%,25%,
482,Shen,53,46.5%,39,14,8,9,5,64.3%,3,2.79,7.5,3.77,227.86,6.81,11.7,351,11k,328,67.1%,19.2%,19.5%,
483,Volibear,47,41.2%,19,28,15,14,14,50%,2.43,2.96,5.36,2.63,219.75,6.72,11.4,350,12k,367.1,62.1%,19.4%,20%,
484,Bard,44,38.6%,24,20,12,11,9,55%,0.8,2.3,10.7,5,45.25,1.35,7.9,237,6.2k,187,78.5%,5.5%,13.2%,
485,Pantheon,44,38.6%,26,18,11,11,7,61.1%,2.61,3.61,5.72,2.31,56.94,1.78,8.4,262,8.9k,279.5,55.8%,17.5%,14.2%,
486,Rakan,42,36.8%,15,27,16,15,12,55.6%,0.44,2,8.26,4.35,39.15,1.26,7.1,228,3.9k,127.3,71.2%,3.6%,13%,
487,Nautilus,40,35.1%,16,24,13,6,18,25%,0.71,4.33,5.5,1.43,36.71,1.17,6.8,216,4.2k,133,58.4%,6.7%,13.1%,
488,Kindred,35,30.7%,10,25,10,16,9,64%,3.48,1.92,5.72,4.79,198.8,6.36,11.4,365,11.3k,361.1,67.6%,25.6%,20.2%,
489,Kalista,35,30.7%,26,9,6,2,7,22.2%,2,3.22,4,1.86,279.22,9.08,12.1,394,10.1k,328.3,60.7%,20.2%,23.4%,
490,Galio,33,28.9%,9,24,12,8,16,33.3%,2.21,3.04,5.42,2.51,235.79,7.54,10.9,348,10.3k,328.2,68.5%,19.9%,20.1%,
491,Thresh,33,28.9%,21,12,9,4,8,33.3%,0.33,2.42,5.67,2.48,39,1.2,7,218,3.3k,101,64.9%,3.6%,12.8%,
492,Twitch,32,28.1%,22,10,6,4,6,40%,3.9,2.8,4.9,3.14,267.2,8.32,12.7,397,15.8k,493.3,70.4%,31.2%,23.2%,
493,Tahm Kench,31,27.2%,15,16,8,8,8,50%,1.06,3.63,8.06,2.52,34.63,1.02,7.8,230,5.2k,154,58.9%,6.9%,12.8%,
494,Azir,29,25.4%,15,14,8,5,9,35.7%,2.07,2.36,3.93,2.55,282.71,8.86,12.4,389,11.6k,362.3,55.3%,19.1%,22.6%,
495,Alistar,27,23.7%,10,17,13,9,8,52.9%,1.24,3.41,9.06,3.02,34.71,1.05,7.8,236,4.6k,139.4,65.5%,7.9%,13.3%,
496,Sylas,27,23.7%,11,16,10,8,8,50%,3.31,2.69,5.63,3.33,225.81,7.61,11.2,376,13.4k,450,73%,27%,21.3%,
497,Akali,26,22.8%,20,6,4,3,3,50%,4.17,2.67,4.17,3.13,299.5,8.36,14.2,396,16.7k,466.2,54.9%,27.5%,21.6%,
498,Zoe,23,20.2%,8,15,11,7,8,46.7%,2.67,1.87,6.73,5.04,256.27,7.91,11.9,369,18.1k,557.5,70.9%,20.1%,21.1%,
499,Hecarim,22,19.3%,12,10,8,5,5,50%,2.8,2.8,4.7,2.68,206.6,6.5,11,346,8.8k,277.6,62.5%,23.3%,19.9%,
500,Gangplank,20,17.5%,7,13,7,6,7,46.2%,2.92,2.85,5.08,2.81,275.85,8.56,14,435,20k,621,68%,24.8%,24.2%,
501,Lulu,20,17.5%,8,12,8,6,6,50%,1.08,2.08,7.33,4.04,129.42,4.11,9,285,6.7k,212.6,74.3%,9.6%,16.6%,
502,Lee Sin,19,16.7%,5,14,9,5,9,35.7%,2.79,3,5.79,2.86,173.93,5.18,10.8,321,8.3k,246.7,72.3%,23.5%,18.6%,
503,Wukong,19,16.7%,6,13,5,5,8,38.5%,3,3.31,4.69,2.33,249.38,7.73,12.3,382,12.6k,390.2,66.7%,26%,22.4%,
504,Evelynn,18,15.8%,11,7,6,4,3,57.1%,4,3,4.71,2.9,193.14,6.05,11.3,354,13.1k,410.2,62.2%,28.6%,19.6%,
505,Braum,16,14%,4,12,10,6,6,50%,0.58,2.58,8.17,3.39,34.67,1.12,7.1,230,4.9k,158.2,70%,4.7%,12.9%,
506,Jax,15,13.2%,7,8,4,6,2,75%,4.38,2.63,4.13,3.24,306.63,8.61,15.3,431,16.2k,455,54.4%,28%,22.7%,
507,Mordekaiser,15,13.2%,9,6,4,1,5,16.7%,4.5,3.5,3.17,2.19,256.83,7.4,13.2,379,16.2k,467.4,67.6%,39.7%,22.6%,
508,Sion,14,12.3%,3,11,6,4,7,36.4%,1.45,2.73,5.27,2.47,240.36,7.74,11,354,10.7k,344.8,48.7%,10.5%,20.2%,
509,Ekko,13,11.4%,4,9,6,6,3,66.7%,4.22,1.22,6.56,8.82,278.89,9.05,13,422,13.5k,436.6,70.8%,27.7%,22.8%,
510,Jayce,11,9.6%,3,8,7,2,6,25%,3.38,3.75,2.63,1.6,265.38,8.67,12.2,398,19.2k,629.1,64.9%,36.5%,23.3%,
511,Kassadin,11,9.6%,6,5,3,3,2,60%,6.8,4,2.4,2.3,264.2,8.37,13.4,423,17k,537.6,54.1%,40%,23.7%,
512,Miss Fortune,9,7.9%,1,8,5,5,3,62.5%,3.88,2.63,6.38,3.9,317.25,9.5,14.5,435,17.7k,528.8,70.7%,26.7%,24.1%,
513,Aphelios,9,7.9%,2,7,6,3,4,42.9%,2.86,2.86,4.43,2.55,279.86,8.89,12.8,407,17.2k,547.9,62.2%,24.4%,23.1%,
514,Malphite,9,7.9%,3,6,5,3,3,50%,2,2.5,6.17,3.27,218.17,7.45,10.6,361,11.9k,406.1,59.8%,14.6%,20.5%,
515,Karma,9,7.9%,4,5,5,4,1,80%,0.4,1.6,9.8,6.38,25.8,0.85,7.2,239,4.8k,158.2,82.3%,3.2%,13%,
516,Lux,9,7.9%,4,5,4,2,3,40%,0.4,1.8,5.8,3.44,42.4,1.27,7.5,226,4k,120.5,75.6%,4.9%,13.1%,
517,Blitzcrank,9,7.9%,5,4,3,2,2,50%,1,2.5,5.75,2.7,26.25,0.87,6.8,226,4k,132.2,50%,7.4%,12.6%,
518,Irelia,8,7%,6,2,2,1,1,50%,4,3.5,3,2,282.5,9.66,12.7,435,12.9k,440.9,56%,32%,24.3%,
519,Swain,8,7%,7,1,1,1,0,100%,5,4,5,2.5,234,6.91,12.9,380,27k,798.1,76.9%,38.5%,20.8%,
520,Kennen,7,6.1%,3,4,1,4,0,100%,3.5,3.25,7.5,3.38,275.75,8.81,13.8,440,19k,605.5,71%,22.6%,22.4%,
521,Gragas,7,6.1%,3,4,4,2,2,50%,3.5,2.5,7,4.2,199.75,5.78,11.5,333,14.7k,425.5,63.6%,21.2%,18.8%,
522,Vladimir,7,6.1%,3,4,3,2,2,50%,2.75,2.5,2,1.9,295.75,9.05,12.9,396,18.9k,577.5,42.2%,24.4%,22.8%,
523,Ziggs,6,5.3%,1,5,3,1,4,20%,1.4,2.2,2.8,1.91,277,8.74,12.3,390,19.4k,612.9,52.5%,17.5%,23.6%,
524,Jarvan IV,6,5.3%,2,4,3,2,2,50%,0.75,2.5,8.5,3.7,156.5,4.82,9.4,291,6.1k,188.2,82.2%,6.7%,16.7%,
525,Taric,5,4.4%,-,5,3,1,4,20%,0,1.8,3.6,2,32.8,1.16,5.9,211,1.4k,49.1,62.1%,0%,12.6%,
526,Karthus,5,4.4%,3,2,2,0,2,0%,3,6,6.5,1.58,218.5,7.15,11.4,372,19.7k,644.4,76%,24%,22.5%,
527,Tristana,4,3.5%,-,4,4,2,2,50%,2.75,3,5,2.58,317.5,9.11,14.3,411,13.8k,394.7,60.8%,21.6%,23.7%,
528,Draven,4,3.5%,1,3,3,1,2,33.3%,4,2.33,5.67,4.14,275.33,8.1,14.8,435,15.5k,455.2,74.4%,30.8%,23.6%,
529,Yuumi,4,3.5%,4,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
530,Vayne,3,2.6%,-,3,3,2,1,66.7%,6.67,2.33,3,4.14,256.33,8.37,13.3,433,16.9k,550.6,61.7%,42.6%,23.4%,
531,Cassiopeia,3,2.6%,1,2,2,1,1,50%,2.5,3,4.5,2.33,283.5,9.65,12.4,420,16.4k,558.4,82.4%,29.4%,25.6%,
532,Elise,3,2.6%,1,2,1,1,1,50%,2.5,4,5.5,2,179,5.23,10.6,309,11.5k,334.7,66.7%,20.8%,18%,
533,Vel'Koz,3,2.6%,1,2,2,0,2,0%,1.5,3,1,0.83,248.5,8.95,10,359,13.5k,485.9,38.5%,23.1%,22.8%,
534,Morgana,3,2.6%,2,1,1,1,0,100%,1,3,10,3.67,34,1.15,7.5,251,7.2k,244.1,57.9%,5.3%,12.8%,
535,Gnar,2,1.8%,-,2,2,2,0,100%,1,1.5,6,4.67,266,8.35,12.3,386,12.5k,394,50%,7.1%,20.2%,
536,Fiora,2,1.8%,-,2,2,1,1,50%,5,4,2.5,1.88,320.5,9.4,14.8,434,21.3k,623.3,53.6%,35.7%,24.6%,
537,Kayle,2,1.8%,-,2,2,0,2,0%,1,3.5,1,0.57,268.5,8.88,11,363,13.2k,437.9,36.4%,18.2%,22.8%,
538,Urgot,2,1.8%,-,2,2,0,2,0%,6,3,2,2.67,240.5,7.12,12.5,369,9.7k,288.2,80%,60%,23.4%,
539,Zilean,2,1.8%,-,2,1,0,2,0%,0.5,1,4,4.5,250.5,7.68,10.7,328,9.5k,290.3,60%,6.7%,20.8%,
540,LeBlanc,2,1.8%,1,1,1,0,1,0%,2,4,4,1.5,289,7.83,13.7,371,11.9k,323.5,60%,20%,23.1%,
541,Quinn,2,1.8%,1,1,1,0,1,0%,2,4,6,2,262,8.15,12.7,394,16.8k,523.5,88.9%,22.2%,22.1%,
542,Maokai,1,0.9%,-,1,1,1,0,100%,1,3,8,3,245,8.17,11,368,16.6k,552.7,69.2%,7.7%,18.5%,
543,Nocturne,1,0.9%,-,1,1,1,0,100%,5,3,5,3.33,266,8.27,13.3,415,10.6k,330.6,66.7%,33.3%,22.6%,
544,Rengar,1,0.9%,-,1,1,1,0,100%,2,1,10,12,211,6.08,11.9,344,10.6k,306.1,60%,10%,18.4%,
545,Singed,1,0.9%,-,1,1,1,0,100%,2,3,8,3.33,263,7.8,12.9,382,11.5k,340.6,66.7%,13.3%,20.6%,
546,Aatrox,1,0.9%,-,1,1,0,1,0%,1,3,1,0.67,202,6.55,9,293,6.4k,206.3,66.7%,33.3%,20%,
547,Corki,1,0.9%,-,1,1,0,1,0%,2,4,1,0.75,293,9.88,12.2,412,18.7k,630.9,37.5%,25%,24.9%,
548,Kha'Zix,1,0.9%,-,1,1,0,1,0%,2,6,4,1,154,5.18,8.8,297,9.8k,330.4,100%,33.3%,18.8%,
549,Kog'Maw,1,0.9%,-,1,1,0,1,0%,1,2,3,2,334,8.85,13.7,363,20k,530.2,57.1%,14.3%,22.1%,
550,Poppy,1,0.9%,-,1,1,0,1,0%,5,4,9,3.5,235,6.23,14,372,20.6k,544.9,77.8%,27.8%,20.8%,
551,Ryze,1,0.9%,-,1,1,0,1,0%,1,4,4,1.25,177,7.45,7.7,324,5.9k,249.1,62.5%,12.5%,20.2%,
552,Skarner,1,0.9%,-,1,1,0,1,0%,0,6,2,0.33,118,4.28,6.8,246,3.5k,126.1,50%,0%,16.9%,
553,Xayah,1,0.9%,-,1,1,0,1,0%,4,4,3,1.75,346,10.35,14.9,445,15.3k,458.6,87.5%,50%,28.5%,
554,Olaf,1,0.9%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
